loss,learning_rate,epoch,step,eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1584,6.944801026957638e-05,0.31,238,,,,,,,,,,,,,,
0.4213,6.93196405648267e-05,0.31,239,,,,,,,,,,,,,,
0.4352,6.919127086007702e-05,0.31,240,,,,,,,,,,,,,,
0.3564,6.906290115532735e-05,0.31,241,,,,,,,,,,,,,,
0.1356,6.893453145057767e-05,0.31,242,,,,,,,,,,,,,,
0.4248,6.880616174582799e-05,0.31,243,,,,,,,,,,,,,,
0.1506,6.86777920410783e-05,0.31,244,,,,,,,,,,,,,,
0.1075,6.854942233632863e-05,0.31,245,,,,,,,,,,,,,,
0.2423,6.842105263157895e-05,0.32,246,,,,,,,,,,,,,,
0.1975,6.829268292682928e-05,0.32,247,,,,,,,,,,,,,,
0.1941,6.816431322207959e-05,0.32,248,,,,,,,,,,,,,,
0.1685,6.803594351732992e-05,0.32,249,,,,,,,,,,,,,,
0.0161,6.790757381258024e-05,0.32,250,,,,,,,,,,,,,,
0.3693,6.777920410783055e-05,0.32,251,,,,,,,,,,,,,,
0.1288,6.765083440308088e-05,0.32,252,,,,,,,,,,,,,,
0.1497,6.75224646983312e-05,0.32,253,,,,,,,,,,,,,,
0.1477,6.739409499358151e-05,0.33,254,,,,,,,,,,,,,,
0.0605,6.726572528883184e-05,0.33,255,,,,,,,,,,,,,,
0.1102,6.713735558408216e-05,0.33,256,,,,,,,,,,,,,,
0.2974,6.700898587933247e-05,0.33,257,,,,,,,,,,,,,,
0.1279,6.68806161745828e-05,0.33,258,,,,,,,,,,,,,,
0.0861,6.675224646983312e-05,0.33,259,,,,,,,,,,,,,,
0.4204,6.662387676508344e-05,0.33,260,,,,,,,,,,,,,,
0.1656,6.649550706033376e-05,0.34,261,,,,,,,,,,,,,,
0.1808,6.636713735558408e-05,0.34,262,,,,,,,,,,,,,,
0.0499,6.62387676508344e-05,0.34,263,,,,,,,,,,,,,,
0.1558,6.611039794608472e-05,0.34,264,,,,,,,,,,,,,,
0.1613,6.598202824133504e-05,0.34,265,,,,,,,,,,,,,,
0.1573,6.585365853658538e-05,0.34,266,,,,,,,,,,,,,,
0.1931,6.572528883183568e-05,0.34,267,,,,,,,,,,,,,,
0.1879,6.5596919127086e-05,0.34,268,,,,,,,,,,,,,,
0.3581,6.546854942233634e-05,0.35,269,,,,,,,,,,,,,,
0.4503,6.534017971758666e-05,0.35,270,,,,,,,,,,,,,,
0.0834,6.521181001283697e-05,0.35,271,,,,,,,,,,,,,,
0.2118,6.50834403080873e-05,0.35,272,,,,,,,,,,,,,,
0.1435,6.495507060333762e-05,0.35,273,,,,,,,,,,,,,,
0.0274,6.482670089858793e-05,0.35,274,,,,,,,,,,,,,,
0.295,6.469833119383826e-05,0.35,275,,,,,,,,,,,,,,
0.1458,6.456996148908858e-05,0.35,276,,,,,,,,,,,,,,
0.1215,6.44415917843389e-05,0.36,277,,,,,,,,,,,,,,
0.2183,6.431322207958922e-05,0.36,278,,,,,,,,,,,,,,
0.1249,6.418485237483954e-05,0.36,279,,,,,,,,,,,,,,
0.0221,6.405648267008986e-05,0.36,280,,,,,,,,,,,,,,
0.1805,6.392811296534018e-05,0.36,281,,,,,,,,,,,,,,
0.1159,6.37997432605905e-05,0.36,282,,,,,,,,,,,,,,
0.2328,6.367137355584084e-05,0.36,283,,,,,,,,,,,,,,
0.2126,6.354300385109114e-05,0.36,284,,,,,,,,,,,,,,
0.1097,6.341463414634146e-05,0.37,285,,,,,,,,,,,,,,
0.2219,6.32862644415918e-05,0.37,286,,,,,,,,,,,,,,
0.064,6.31578947368421e-05,0.37,287,,,,,,,,,,,,,,
0.0641,6.302952503209242e-05,0.37,288,,,,,,,,,,,,,,
0.2191,6.290115532734276e-05,0.37,289,,,,,,,,,,,,,,
0.0563,6.277278562259306e-05,0.37,290,,,,,,,,,,,,,,
0.1642,6.264441591784338e-05,0.37,291,,,,,,,,,,,,,,
0.2206,6.251604621309372e-05,0.37,292,,,,,,,,,,,,,,
0.3703,6.238767650834402e-05,0.38,293,,,,,,,,,,,,,,
0.2761,6.225930680359436e-05,0.38,294,,,,,,,,,,,,,,
0.2483,6.213093709884468e-05,0.38,295,,,,,,,,,,,,,,
0.0692,6.2002567394095e-05,0.38,296,,,,,,,,,,,,,,
0.3595,6.187419768934532e-05,0.38,297,,,,,,,,,,,,,,
0.1657,6.174582798459564e-05,0.38,298,,,,,,,,,,,,,,
0.1225,6.161745827984596e-05,0.38,299,,,,,,,,,,,,,,
0.0397,6.148908857509628e-05,0.39,300,,,,,,,,,,,,,,
,,0.39,300,0.17163267731666565,0.9276832360758911,0.9276832360758911,0.9276832360758911,0.9276832360758911,0.2364991729866749,258.285,16.064,1.007,,,,,
0.0409,6.13607188703466e-05,0.39,301,,,,,,,,,,,,,,
0.0999,6.123234916559692e-05,0.39,302,,,,,,,,,,,,,,
0.5415,6.110397946084724e-05,0.39,303,,,,,,,,,,,,,,
0.0403,6.097560975609756e-05,0.39,304,,,,,,,,,,,,,,
0.093,6.084724005134789e-05,0.39,305,,,,,,,,,,,,,,
0.1588,6.071887034659821e-05,0.39,306,,,,,,,,,,,,,,
0.2496,6.059050064184852e-05,0.39,307,,,,,,,,,,,,,,
